# --*-- shell --*--
#
# This file represents a map between shared libraries and packages
# in XBPS. Every shared library installed by a package must be
# listed here and mapped to a binary package.
#
# The third field controls the development package associated with
# the binary package that provides the shared library.
#
##########################################################################
# SONAME			BINPKG			BINPKG-DEVEL
##########################################################################
libhal.so			libhal			libhal-devel
libhal-storage.so		libhal			libhal-devel
libXt.so			libXt			libXt-devel
libXtst.so			libXtst			libXtst-devel
libxkbfile.so			libxkbfile		libxkbfile-devel
libXpm.so			libXpm			libXpm-devel
libXmu.so			libXmu			libXmu-devel
libXmuu.so			libXmu			libXmu-devel
libdrm.so			libdrm			libdrm-devel
libdrm_radeon.so		libdrm			libdrm-devel
libdrm_intel.so			libdrm			libdrm-devel
libdrm_nouveau.so		libdrm			libdrm-devel
libXxf86vm.so			libXxf86vm		libXxf86vm-devel
libXi.so			libXi			libXi-devel
libdmx.so			libdmx			libdmx-devel
libXRes.so			libXres			libXres-devel
libpciaccess.so			libpciaccess		libpciaccess-devel
libpixman-1.so			pixman			pixman-devel
libXaw.so			libXaw			libXaw-devel
libXaw6.so			libXaw			libXaw-devel
libXaw7.so			libXaw			libXaw-devel
libXft.so			libXft			libXft-devel
libXcursor.so			libXcursor		libXcursor-devel
libXxf86dga.so			libXxf86dga		libXxf86dga-devel
libXxf86misc.so			libXxf86misc		libXxf86misc-devel
libXp.so			libXp			libXp-devel
libXfontcache.so		libXfontcache		libXfontcache-devel
libXv.so			libXv			libXv-devel
libXvMC.so			libXvMC			libXvMC-devel
libXvMCW.so			libXvMC			libXvMC-devel
libglitz.so			glitz			glitz-devel
libglitz-glx.so			glitz			glitz-devel
libxcb-render-util.so		xcb-util		xcb-util-devel
libxcb-icccm.so			xcb-util		xcb-util-devel
libxcb-aux.so			xcb-util		xcb-util-devel
libxcb-image.so			xcb-util		xcb-util-devel
libxcb-reply.so			xcb-util		xcb-util-devel
libxcb-keysyms.so		xcb-util		xcb-util-devel
libxcb-property.so		xcb-util		xcb-util-devel
libxcb-atom.so			xcb-util		xcb-util-devel
libxcb-event.so			xcb-util		xcb-util-devel
libtiff.so			tiff			tiff-devel
libnotify.so			libnotify		libnotify-devel
libexo-0.3.so			exo			exo-devel
libexo-hal-0.3.so		exo			exo-devel
libvte.so			vte			vte-devel
libgamin-1.so			gamin			gamin-devel
libfam.so			gamin			gamin-devel
libglade-2.0.so			libglade		libglade-devel
libthunarx-1.so			Thunar			Thunar-devel
libthunar-vfs-1.so		Thunar			Thunar-devel
libexif.so.12			libexif			libexif-devel
liboil-0.3.so			liboil			liboil-devel
libogg.so			libogg			libogg-devel
libvorbis.so			libvorbis		libvorbis-devel
libvorbisenc.so			libvorbis		libvorbis-devel
libvorbisfile.so		libvorbis		libvorbis-devel
libtheora.so			libtheora		libtheora-devel
libtheoradec.so			libtheora		libtheora-devel
libtheoraenc.so			libtheora		libtheora-devel
libcdda_interface.so		cdparanoia		cdparanoia-devel
libcdda_paranoia.so		cdparanoia		cdparanoia-devel
libasound.so			alsa-lib		alsa-lib-devel
libvisual-0.4.so		libvisual		libvisual-devel
libxfsm-4.6.so			xfce4-session		xfce4-session-devel
libxklavier.so.16		libxklavier		libxklavier-devel
libsexy.so			libsexy			libsexy-devel
liblcms.so			lcms			lcms-devel
libgd.so			gd			gd-devel
libcroco-0.6.so			libcroco		libcroco-devel
libgsf-1.so.114			libgsf			libgsf-devel
libMagickCore.so		libmagick		libmagick-devel
libMagickWand.so		libmagick		libmagick-devel
libMagick++.so			libmagick		libmagick-devel
libltdl.so			libltdl			libltdl-devel
libpoppler-glib.so		poppler-glib		poppler-glib-devel
libpoppler.so			poppler			poppler-devel
libtcl8.5.so			tcl			tcl-devel
libsqlite3.so			sqlite			sqlite-devel
libtclsqlite3.so		sqlite-tcl		sqlite-devel
libIDL-2.so			libIDL			libIDL-devel
libnspr4.so			nspr			nspr-devel
libplc4.so			nspr			nspr-devel
libplds4.so			nspr			nspr-devel
libsoftokn3.so			nss			nss-devel
libssl3.so			nss			nss-devel
libnssutil3.so			nss			nss-devel
libsmime3.so			nss			nss-devel
libfreebl3.so			nss			nss-devel
libnssdbm3.so			nss			nss-devel
libnssckbi.so			nss			nss-devel
libnss3.so			nss			nss-devel
libxul.so			xulrunner		xulrunner-devel
libmozjs.so			xulrunner		xulrunner-devel
libdbusservice.so		xulrunner		xulrunner-devel
libimgicon.so			xulrunner		xulrunner-devel
libxpcom.so			xulrunner		xulrunner-devel
libcurl.so			curl-libs		curl-devel
libcompizconfig.so		libcompizconfig		libcompizconfig-devel
libpyglib-2.0-python.so		pygobject
libdaemon.so			libdaemon		libdaemon-devel
libavahi-common.so		avahi-libs		avahi-libs-devel
libavahi-core.so		avahi-libs		avahi-libs-devel
libavahi-client.so		avahi-libs		avahi-libs-devel
libavahi-gobject.so		avahi-glib-libs		avahi-glib-libs-devel
libavahi-glib.so		avahi-glib-libs		avahi-glib-libs-devel
libdns_sd.so			avahi-compat-libs	avahi-compat-libs-devel
libhowl.so			avahi-compat-libs	avahi-compat-libs-devel
libavahi-ui.so			avahi-ui-libs		avahi-ui-libs-devel
libmp4v2.so			libmp4v2		libmp4v2-devel
libmp4av.so			libmp4v2		libmp4v2-devel
libmpeg4ip_gnu.so		libmp4v2		libmp4v2-devel
libfaac.so			faac			faac-devel
libfaad.so			faad2			faad2-devel
libid3tag.so			libid3tag		libid3tag-devel
libgif.so			giflib			giflib-devel
libungif.so			giflib			giflib-devel
libImlib2.so			imlib2			imlib2-devel
libmp3lame.so			lame			lame-devel
libavdevice.so.52		ffmpeg			ffmpeg-devel
libavformat.so.52		ffmpeg			ffmpeg-devel
libswscale.so			ffmpeg			ffmpeg-devel
libpostproc.so.51		ffmpeg			ffmpeg-devel
libavcodec.so.52		ffmpeg			ffmpeg-devel
libavutil.so.49 		ffmpeg			ffmpeg-devel
libSDL-1.2.so			SDL			SDL-devel
libSDL_image-1.2.so		SDL_image		SDL_image-devel
libx264.so.80			x264			x264-devel
libxvidcore.so			xvidcore		xvidcore-devel
libtag.so			taglib			taglib-devel
libfribidi.so			fribidi			fribidi-devel
liba52.so			liba52			liba52-devel
libcddb.so			libcddb			libcddb-devel
libcdio_cdda.so			libcdio			libcdio-devel
libiso9660.so			libcdio			libcdio-devel
libiso9660++.so			libcdio			libcdio-devel
libudf.so			libcdio			libcdio-devel
